paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Санкт-Петербург, 3 линия, метро Пролетарская"",126809";82.906649|54.98914|209709
"""Россия, Санкт-Петербург, 4 линия, метро Проспект Большевиков"",75672";37.609829|55.751001|99913
"""Россия, Санкт-Петербург, 1 линия, метро Проспект Ветеранов"",10137";37.558212|55.789704|95284
"""Россия, Санкт-Петербург, 2 линия, метро Проспект Просвещения"",214301";37.519602|55.633038|43038
"""Россия, Санкт-Петербург, 1 линия, метро Пушкинская"",12690";37.59869|55.781818|132073
"""Россия, Санкт-Петербург, 3 линия, метро Рыбацкое"",203597";37.6797|55.789198|95700
"""Россия, Санкт-Петербург, 5 линия, метро Садовая"",216087";37.656721|55.740978|152044
"""Россия, Санкт-Петербург, 2 линия, метро Сенная площадь"",136855";30.321824|60.037162|73852
"""Россия, Санкт-Петербург, 4 линия, метро Спасская"",110660";37.765902|55.705417|214240
"""Россия, Санкт-Петербург, 5 линия, метро Спортивная"",137647";30.259373|59.971794|166815
"""Россия, Санкт-Петербург, 5 линия, метро Старая Деревня"",238573";37.762641|55.713791|223821
"""Россия, Санкт-Петербург, 2 линия, метро Технологический институт-2"",165164";37.705284|55.782066|67438
"""Россия, Санкт-Петербург, 2 линия, метро Технологический институт-2"",119439";60.613878|56.900393|149141
"""Россия, Санкт-Петербург, 2 линия, метро Удельная"",60021";30.368932|59.883769|205092
"""Россия, Санкт-Петербург, 4 линия, метро Улица Дыбенко"",95754";43.937903|56.299061|146981
"""Россия, Санкт-Петербург, 2 линия, метро Фрунзенская"",121031";37.567545|55.744596|83978
"""Россия, Санкт-Петербург, 2 линия, метро Чёрная речка"",201085";37.534236|55.740178|114001
"""Россия, Санкт-Петербург, 1 линия, метро Чернышевская"",193410";30.318213|59.926476|216087
"""Россия, Санкт-Петербург, 5 линия, метро Чкаловская"",24884";37.666072|55.779849|110729
"""Россия, Санкт-Петербург, 2 линия, метро Электросила"",131764";37.653613|55.739199|169812
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Авиастроительная"",81587";43.927528|56.285144|185796
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Аметьево"",50532";30.333745|59.933938|212720
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Горки"",52446";37.659263|55.75593|75184
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Козья Слобода"",17162";37.587344|55.898376|23291
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Кремлёвская"",206142";37.668848|55.621541|108000
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Площадь Габдуллы Тукая"",230723";37.786887|55.75132|238317
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Проспект Победы"",36543";37.434496|55.818149|91198
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Северный Вокзал"",36089";37.436382|55.860524|231000
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Суконная Слобода"",225045";37.744334|55.65051|21722
"""Россия, Республика Татарстан, Казань, Центральная линия, метро Яшьлек"",117594";50.220693|53.201585|217823
